S.No.,Commune,HASC,Population
1,Abadla,DZ.BC.AB,"10,845"
2,Abalissa,DZ.TM.AB,"6,484"
3,Abi Youcef,DZ.TO.AU,"7,743"
4,Abou El Hassen,DZ.CH.AH,"20,164"
5,Achaacha,DZ.MG.AC,"31,360"
6,Adekar,DZ.BJ.AD,"13,495"
7,Adrar,DZ.AR.AD,"43,903"
8,Afir,DZ.BM.AF,"12,613"
9,Aflou,DZ.LG.AF,"53,260"
10,Aghbal,DZ.TP.AG,"6,606"
11,Aghbalou,DZ.BU.AG,"19,530"
12,Aghlal,DZ.AT.AG,"6,841"
13,Aghni-Goughrane,DZ.TO.AG,"10,833"
14,Aghrib,DZ.TO.AR,"13,408"
15,Ahl El Ksar,DZ.BU.AK,"12,315"
16,Ahmed Rachedi,DZ.ML.AR,"14,489"
17,Ahmer El Ain,DZ.TP.AA,"25,633"
18,Ahnif,DZ.BU.AF,"10,268"
19,Ain Abessa,DZ.SF.AB,"15,058"
20,Ain Abid,DZ.CO.AA,"25,958"
21,Ain Adden,DZ.SB.AA,"2,319"
22,Ain Arnat,DZ.SF.AA,"30,129"
23,Ain Azel,DZ.SF.AZ,"41,073"
24,Ain Bebouche,DZ.OB.AC,"14,597"
25,Ain Beida,DZ.OB.AB,"92,197"
26,Ain Beida,DZ.OG.AB,"14,500"
27,Ain Beida Harriche,DZ.ML.AB,"18,513"
28,Ain Ben Beida,DZ.GL.AB,"8,269"
29,Ain Benian,DZ.AD.AN,"4,677"
30,Ain Benian,DZ.AL.AB,"52,343"
31,Ain Ben Khelil,DZ.NA.AB,"3,776"
32,Ain-Bessem,DZ.BU.AB,"36,830"
33,Ain Biya,DZ.OR.AB,"26,253"
34,Ain Bouchekif,DZ.TR.AB,"12,386"
35,Ain Boucif,DZ.MD.AB,"24,434"
36,Ain Boudinar,DZ.MG.AB,"5,241"
37,Ain Bouihi,DZ.AD.AB,"13,920"
38,Ain Bouziane,DZ.SK.AB,"8,381"
39,Ain Charchar,DZ.SK.AC,"13,717"
40,Ain Chouhada,DZ.DJ.AC,"8,337"
41,Ain Defla,DZ.AD.AD,"52,276"
42,Ain Deheb,DZ.TR.AD,"25,366"
43,Aïn Djasser,DZ.BT.AD,"13,232"
44,Aïn El Arbaa,DZ.AT.AA,"12,443"
45,Ain El Assel,DZ.ET.AA,"12,482"
46,Ain El Berd,DZ.SB.AB,"13,779"
47,Ain El Berda,DZ.AN.AB,"17,446"
48,Ain El Diss,DZ.OB.AD,"2,741"
49,Ain El Fakroun,DZ.OB.AF,"47,237"
50,Ain El Hadid,DZ.TR.AH,"13,358"
51,Ain El Hadjar,DZ.BU.AH,"7,988"
52,Ain El Hadjar,DZ.SD.AH,"21,493"
53,Ain El Hadjel,DZ.MS.AH,"27,661"
54,Ain-El-Hammam,DZ.TO.AE,"20,118"
55,Ain El Ibel,DZ.DJ.AI,"20,436"
56,Ain El Kebira,DZ.SF.AK,"32,113"
57,Ain El Kercha,DZ.OB.AK,"27,255"
58,Ain El Melh,DZ.MS.AM,"23,272"
59,Ain El Orak,DZ.EB.AO,"1,990"
60,Ain Errich,DZ.MS.AR,"10,548"
61,Ain Fares,DZ.MC.AF,"12,454"
62,Ain Fares,DZ.MS.AF,"3,563"
63,Ain Fekan,DZ.MC.AK,"10,573"
64,Ain Fekka,DZ.DJ.AF,"16,842"
65,Ain Ferah,DZ.MC.AR,"5,394"
66,Ain Fettah,DZ.TL.AH,"7,005"
67,Ain Fezza,DZ.TL.AF,"9,598"
68,Ain Frass,DZ.MC.AS,"1,628"
69,Ain Ghoraba,DZ.TL.AG,"4,842"
70,Ain Hassainia,DZ.GL.AH,"6,371"
71,Ain Kada,DZ.SB.AK,"1,852"
72,Ain Kebira,DZ.TL.AK,"3,512"
73,Ain Kechra,DZ.SK.AK,"21,968"
74,Ain Kerma,DZ.ET.AK,"12,182"
75,Ain Kerma,DZ.OR.AK,"6,980"
76,Ain Kermes,DZ.TR.AK,"13,768"
77,Ain Khadra,DZ.MS.AK,"19,412"
78,Ain Kihel,DZ.AT.AK,"8,192"
79,Ain Lahdjar,DZ.SF.AJ,"29,871"
80,Ain Laloui,DZ.BU.AL,"5,893"
81,Ain Larbi,DZ.GL.AL,"7,756"
82,Ain Lechiakh,DZ.AD.AL,"12,119"
83,Ain-Legradj,DZ.SF.AL,"17,100"
84,Ain Maabed,DZ.DJ.AM,"13,183"
85,Ain Madhi,DZ.LG.AM,"6,263"
86,Ain Makhlouf,DZ.GL.AM,"11,018"
87,Ain Mellouk,DZ.ML.AM,"12,716"
88,Ain Merrane,DZ.CH.AM,"37,142"
89,Ain M'Lila,DZ.OB.AM,"69,798"
90,Ain Naga,DZ.BS.AN,"10,054"
91,Ain Nehala,DZ.TL.AN,"6,432"
92,Ain Nouissy,DZ.MG.AN,"11,389"
93,Ain Ouksir,DZ.MD.AO,"5,366"
94,Ain Oulmane,DZ.SF.AO,"59,855"
95,Ain Oussera,DZ.DJ.AO,"82,597"
96,Ain Rahma,DZ.RE.AR,"11,035"
97,Ain Rekada,DZ.GL.AR,"7,289"
98,Ain Romana,DZ.BL.AR,"9,667"
99,Ain Roua,DZ.SF.AR,"11,454"
100,Ain Safra,DZ.NA.AS,"34,962"
101,Ain Sandel,DZ.GL.AS,"5,083"
102,Ain-Sebt,DZ.SF.AS,"14,290"
103,Ain Sekhouna,DZ.SD.AK,"5,725"
104,Ain Semara,DZ.CO.AS,"24,426"
105,Ain Sidi Ali,DZ.LG.AS,"4,220"
106,Ain Sidi Cherif,DZ.MG.AS,"7,819"
107,Ain Soltane,DZ.AD.AS,"18,541"
108,Ain Soltane,DZ.SA.AS,"3,266"
109,Ain Soltane,DZ.SD.AS,"6,068"
110,Ain Taghrout,DZ.BB.AG,"11,103"
111,Ain Tagourait,DZ.TP.AT,"9,075"
112,Ain Tallout,DZ.TL.AT,"9,106"
113,Ain Tarik,DZ.RE.AT,"12,287"
114,Ain Taya,DZ.AL.AT,"29,515"
115,Ain Tedles,DZ.MG.AT,"31,685"
116,Ain Temouchent,DZ.AT.AT,"57,673"
117,Ain Tesra,DZ.BB.AT,"9,358"
118,Ain Thrid,DZ.SB.AH,"1,969"
119,Ain Tindamine,DZ.SB.AN,"2,383"
120,Ain Tine,DZ.ML.AT,"6,653"
121,Ain Tolba,DZ.AT.AB,"11,188"
122,Ain Tork,DZ.AD.AT,"8,280"
123,Ain Touila,DZ.KH.AT,"14,769"
124,Ain Touta,DZ.BT.AT,"52,143"
125,Ain Turk,DZ.BU.AT,"6,841"
126,Ain Turk,DZ.OR.AT,"26,251"
127,Ain Yagout,DZ.BT.AY,"8,988"
128,Ain Youcef,DZ.TL.AY,"11,865"
129,Ain Zaatout,DZ.BS.AZ,"4,000"
130,Ain Zana,DZ.SA.AZ,"7,512"
131,Ain-Zaouia,DZ.TO.AN,"16,764"
132,Ain Zarit,DZ.TR.AZ,"7,673"
133,Ain Zerga,DZ.TB.AZ,"18,998"
134,Ain Zitoun,DZ.OB.AZ,"5,993"
135,Ain Zouit,DZ.SK.AZ,"2,230"
136,Aissaouia,DZ.MD.AS,"6,507"
137,Ait Aggouacha,DZ.TO.AA,"3,986"
138,Ait Bouadou,DZ.TO.AD,"13,834"
139,Ait Boumehdi,DZ.TO.AB,"6,721"
140,Ait-Chaffaa,DZ.TO.AC,"3,865"
141,Ait Khelili,DZ.TO.AI,"12,630"
142,Ait Laaziz,DZ.BU.AZ,"14,056"
143,Ait-Mahmoud,DZ.TO.AM,"9,369"
144,Ait Naoual Mezada,DZ.SF.AN,"6,562"
145,Ait Oumalou,DZ.TO.AO,"9,233"
146,Ait R'Zine,DZ.BJ.AR,"14,619"
147,Ait-Smail,DZ.BJ.AS,"10,690"
148,Ait-Tizi,DZ.SF.AT,"7,859"
149,Ait Toudert,DZ.TO.AT,"9,723"
150,Ait-Yahia,DZ.TO.AH,"16,485"
151,Ait Yahia Moussa,DZ.TO.AY,"19,904"
152,Akabli,DZ.AR.AK,"7,513"
153,Akbil,DZ.TO.AL,"9,751"
154,Akbou,DZ.BJ.AB,"44,854"
155,Akerrou,DZ.TO.AK,"5,070"
156,Akfadou,DZ.BJ.AF,"7,502"
157,Alaimia,DZ.MC.AL,"6,750"
158,Alger Centre,DZ.AL.AC,"96,329"
159,Amalou,DZ.BJ.AL,"9,116"
160,Amernas,DZ.SB.AM,"6,212"
161,Amieur,DZ.TL.AM,"11,725"
162,Amirat Arres,DZ.ML.AA,"18,722"
163,Amizour,DZ.BJ.AZ,"34,217"
164,Ammal,DZ.BM.AM,"8,567"
165,Ammari,DZ.TS.AM,"7,360"
166,Ammi Moussa,DZ.RE.AM,"26,886"
167,Amoucha,DZ.SF.AM,"19,714"
168,Amourah,DZ.DJ.AR,"5,879"
169,Annaba,DZ.AN.AN,"247,701"
170,Aokas,DZ.BJ.AO,"14,494"
171,Aomar,DZ.BU.AO,"20,464"
172,Aoubellil,DZ.AT.AO,"4,339"
173,Aouf,DZ.MC.AO,"7,326"
174,Aougrout,DZ.AR.AG,"9,878"
175,Aoulef,DZ.AR.AL,"15,229"
176,Arbaouat,DZ.EB.AR,"3,252"
177,Arib,DZ.AD.AR,"20,782"
178,Arris,DZ.BT.AR,"24,607"
179,Arzew,DZ.OR.AR,"66,720"
180,Asfour,DZ.ET.AS,"10,632"
181,Assela,DZ.NA.AL,"4,784"
182,Assi Youcef,DZ.TO.AS,"14,411"
183,Ath Mansour Taourirt,DZ.BU.AM,"9,283"
184,Azails,DZ.TL.AZ,"6,728"
185,Azazga,DZ.TO.AZ,"30,911"
186,Azil Abdelkader (Metkouak),DZ.BT.AA,"12,133"
187,"Azzaba, Algeria/'Azzaba",DZ.SK.AA,"48,992"
188,Azzefoun,DZ.TO.AF,"16,096"
189,Azziz,DZ.MD.AZ,"10,697"
190,Azzizia,DZ.MD.AI,"7,905"
191,Baata,DZ.MD.BA,"3,192"
192,Baba Hassen,DZ.AL.BH,"13,827"
193,Babar,DZ.KH.BB,"28,182"
194,Bab El Assa,DZ.TL.BA,"8,989"
195,Bab El Oued,DZ.AL.BO,"87,557"
196,Bab Ezzouar,DZ.AL.BE,"92,157"
197,Babor,DZ.SF.BR,"18,445"
198,Bachedjerah,DZ.AL.BJ,"90,073"
199,Badredine El Mokrani,DZ.SB.BM,"5,966"
200,Baghai,DZ.KH.BG,"6,414"
201,Baghlia,DZ.BM.BG,"15,854"
202,Baladiet Amor,DZ.OG.BA,"12,135"
203,Baraki,DZ.AL.BR,"95,247"
204,Barbouche,DZ.AD.BB,"4,686"
205,Barika,DZ.BT.BR,"85,670"
206,Bathia,DZ.AD.BT,"5,919"
207,Batna,DZ.BT.BT,"247,520"
208,Bayadha,DZ.EO.BA,"26,535"
209,Bazer-Sakra,DZ.SF.BS,"25,586"
210,Bechar,DZ.BC.BE,"134,954"
211,Bechloul,DZ.BU.BE,"10,403"
212,Bedjene,DZ.TB.BJ,"3,685"
213,Beidha Bordj,DZ.SF.BB,"31,250"
214,Bejaia,DZ.BJ.BJ,"150,195"
215,Bekkaria,DZ.TB.BK,"7,551"
216,Bekkouche Lakhdar,DZ.SK.BL,"14,092"
217,Belaas,DZ.AD.BL,"5,303"
218,Belaassel Bouzagza,DZ.RE.BB,"10,933"
219,Belaiba,DZ.MS.BB,"20,839"
220,Belala,DZ.OB.BL,"2,566"
221,Belarbi,DZ.SB.BL,"7,415"
222,Belimour,DZ.BB.BE,"10,301"
223,Belkheir,DZ.GL.BE,"14,979"
224,Bellaa,DZ.SF.BE,"14,593"
225,Benabdelmalek Ramdane,DZ.MG.BR,"12,577"
226,Benaceur,DZ.OG.BE,"7,808"
227,Benaicha Chelia,DZ.SB.BC,"5,086"
228,Benairia,DZ.CH.BN,"13,509"
229,Ben Aknoun,DZ.AL.BA,"19,404"
230,Ben Allal,DZ.AD.BA,"7,979"
231,Ben Azzouz,DZ.SK.BA,"24,969"
232,Ben Badis (El Horia),DZ.CO.BB,"13,869"
233,Ben Badis,DZ.SB.BB,"17,617"
234,Ben Chicao,DZ.MD.BC,"8,946"
235,Ben Choud,DZ.BM.BC,"8,853"
236,Ben Daoud,DZ.BB.BD,"13,472"
237,Bendaoud,DZ.RE.BE,"14,560"
238,Ben Djerrah,DZ.GL.BD,"4,202"
239,Ben Freha,DZ.OR.BF,"14,565"
240,Ben Guecha,DZ.EO.BG,"1,036"
241,Benhar,DZ.DJ.BH,"10,380"
242,Beni Abbes,DZ.BC.BA,"8,850"
243,Beni Aissi,DZ.TO.BA,"7,914"
244,Beni Amrane,DZ.BM.BA,"21,452"
245,Benian,DZ.MC.BE,"4,530"
246,Beni-Aziz,DZ.SF.BZ,"17,913"
247,Beni Bahdel,DZ.TL.BD,"2,660"
248,Beni Bechir,DZ.SK.BB,"8,450"
249,Beni Bouattab,DZ.CH.BB,"2,551"
250,Beni Boussaid,DZ.TL.BB,"11,894"
251,Beni Chaib,DZ.TS.BC,"3,266"
252,Beni Chebana,DZ.SF.BC,"15,534"
253,Beni Dejllil,DZ.BJ.BD,"8,983"
254,Beni Dergoun,DZ.RE.BD,"10,540"
255,Beni-Douala,DZ.TO.BD,"21,891"
256,Beni Fouda,DZ.SF.BF,"16,876"
257,Beni Foudala El Hakania,DZ.BT.BF,"1,142"
258,Beni Hamidane,DZ.CO.BH,"8,197"
259,Beni Haoua,DZ.CH.BH,"17,602"
260,Beni Ikhlef,DZ.BC.BI,"2,280"
261,Beni Ilmane,DZ.MS.BI,"7,478"
262,Beni K'Sila,DZ.BJ.BK,"4,586"
263,Beni Lahcene,DZ.TS.BL,"4,572"
264,Benimaouche,DZ.BJ.BE,"15,157"
265,Beni-Mellikeche,DZ.BJ.BM,"9,643"
266,Beni Merad,DZ.BL.BM,"21,457"
267,Beni Messous,DZ.AL.BS,"17,490"
268,Beni Mester,DZ.TL.BM,"15,671"
269,Beni Mezline,DZ.GL.BZ,"4,491"
270,Beni Mileuk,DZ.TP.BM,"6,890"
271,Beni-Mouhli,DZ.SF.BM,"8,678"
272,Beni Ouarsous,DZ.TL.BO,"11,018"
273,Beni-Ouartilane,DZ.SF.BO,"11,969"
274,Beni Oulbane,DZ.SK.BO,"20,977"
275,Beni Ounif,DZ.BC.BO,"8,199"
276,Beni Oussine,DZ.SF.BN,"10,210"
277,Beni Rached,DZ.CH.BR,"21,069"
278,Beni Rached,DZ.TL.BR,"6,518"
279,Beni Saf,DZ.AT.BS,"39,668"
280,Beni Slimane,DZ.MD.BS,"31,588"
281,Beni Smiel,DZ.TL.BL,"4,048"
282,Beni Snous,DZ.TL.BS,"10,888"
283,Beni-Tamou,DZ.BL.BT,"22,797"
284,Beni Yenni,DZ.TO.BY,"6,813"
285,Beni Zentis,DZ.RE.BZ,"10,655"
286,Beni Zid,DZ.SK.BZ,"17,379"
287,Beni-Zikki,DZ.TO.BK,"3,943"
288,Beni Zmenzer,DZ.TO.BZ,"12,117"
289,Benkhelil,DZ.BL.BE,"22,361"
290,Ben M'Hidi,DZ.ET.BM,"28,399"
291,Bennasser Benchohra,DZ.LG.BB,"7,948"
292,Bensekrane,DZ.TL.BE,"13,288"
293,Ben Srour,DZ.MS.BS,"18,893"
294,Benyacoub,DZ.DJ.BY,"6,456"
295,Benyahia Abderrahmane,DZ.ML.BA,"10,222"
296,Benzouh,DZ.MS.BZ,"4,197"
297,Berbacha,DZ.BJ.BB,"18,391"
298,Berhoum,DZ.MS.BM,"17,838"
299,Berrahal,DZ.AN.BE,"18,681"
300,Berriane,DZ.GR.BE,"24,802"
301,Berriche,DZ.OB.BR,"16,274"
302,Berrihane,DZ.ET.BR,"8,326"
303,Berrouaghia,DZ.MD.BE,"58,780"
304,Besbes (Ouled Harkat),DZ.BS.BE,"6,481"
305,Besbes,DZ.ET.BS,"43,007"
306,Bethioua,DZ.OR.BE,"14,738"
307,Bhir El Chergui,DZ.OB.BH,"1,870"
308,Bin El Ouiden,DZ.SK.BE,"17,587"
309,Bir Ben Laabed,DZ.MD.BB,"10,543"
310,Bir Bouhouche,DZ.SA.BB,"5,552"
311,Bir Chouhada,DZ.OB.BC,"8,356"
312,Bir Dheb,DZ.TB.BD,"7,023"
313,Bir-El-Arch,DZ.SF.BA,"21,004"
314,Bir-El-Ater,DZ.TB.BA,"59,264"
315,Bir El Djir,DZ.OR.BD,"73,029"
316,Bir El Hammam,DZ.SB.BH,"2,169"
317,Bir Foda,DZ.MS.BF,"4,463"
318,Bir Ghbalou,DZ.BU.BG,"9,141"
319,Bir Haddada,DZ.SF.BH,"18,233"
320,Birine,DZ.DJ.BI,"26,617"
321,Bir Kasdali,DZ.BB.BK,"12,622"
322,Birkhadem,DZ.AL.BD,"55,084"
323,Bir Mokkadem,DZ.TB.BM,"12,479"
324,Bir Mourad Rais,DZ.AL.BM,"43,254"
325,Bir Ould Khelifa,DZ.AD.BO,"10,568"
326,Birtouta,DZ.AL.BT,"21,808"
327,Biskra,DZ.BS.BI,"178,064"
328,Bitam,DZ.BT.BI,"9,270"
329,Blida,DZ.BL.BL,"144,225"
330,Boghni,DZ.TO.BG,"31,983"
331,Bologhine Ibnou Ziri,DZ.AL.BI,"43,283"
332,Bordj Badji Mokhtar,DZ.AR.BB,"9,323"
333,Bordj Ben Azzouz,DZ.BS.BB,"11,043"
334,Bordj Bou Arreridj,DZ.BB.BB,"134,666"
335,Bordj Bounaama,DZ.TS.BB,"18,394"
336,Bordj El Bahri,DZ.AL.BB,"27,905"
337,Bordj El Emir Abdelkader,DZ.TS.BE,"8,953"
338,Bordj El Haouasse,DZ.IL.BH,"2,185"
339,Bordj El Kiffan,DZ.AL.BK,"103,690"
340,Bordj Emir Khaled,DZ.AD.BE,"7,201"
341,Bordj Ghdir,DZ.BB.BG,"23,289"
342,Bordj Menaiel,DZ.BM.BM,"53,782"
343,Bordj Okhriss,DZ.BU.BO,"8,937"
344,Bordj Omar Driss,DZ.IL.BO,"3,547"
345,Bordj Sebbat,DZ.GL.BS,"10,079"
346,Bordj Tahar,DZ.JJ.BT,"4,893"
347,Bordj Zemoura,DZ.BB.BZ,"11,726"
348,Bouaarfa,DZ.BL.BA,"30,258"
349,Bouaiche,DZ.MD.BU,"8,635"
350,Bouaichoune,DZ.MD.BO,"4,036"
351,Boualem,DZ.EB.BL,"5,386"
352,Bouandas,DZ.SF.BD,"15,556"
353,Bouati Mahmoud,DZ.GL.BM,"8,823"
354,Bou Caid,DZ.TS.BD,"8,910"
355,Bouchakroune,DZ.BS.BO,"10,800"
356,Bouchekouf,DZ.GL.BO,"20,921"
357,Boucherahil,DZ.MD.BH,"18,308"
358,Bouchetata,DZ.SK.BC,"9,126"
359,Bouda,DZ.AR.BO,"8,668"
360,Bouderbala,DZ.BU.BB,"16,697"
361,Boudjebaa El Bordj,DZ.SB.BE,"3,169"
362,Boudjellil,DZ.BJ.BL,"12,430"
363,Boudjeriou Messaoud,DZ.CO.BM,"7,975"
364,Boudjima,DZ.TO.BJ,"15,771"
365,Boudouaou,DZ.BM.BD,"54,401"
366,Boudouaou El Bahri,DZ.BM.BB,"10,512"
367,Boudria Beniyadjis,DZ.JJ.BY,"10,352"
368,Boufarik,DZ.BL.BF,"60,190"
369,Boufatis,DZ.OR.BO,"9,906"
370,Bougaa,DZ.SF.BG,"28,431"
371,Bougara,DZ.TR.BO,"6,637"
372,Boughar,DZ.MD.BG,"5,880"
373,Boughezoul,DZ.MD.BZ,"14,094"
374,Bougous,DZ.ET.BG,"10,576"
375,Bougtoub,DZ.EB.BG,"13,605"
376,Bouguerra,DZ.BL.BG,"42,746"
377,Bouguirat,DZ.MG.BO,"26,954"
378,Bou Hachana,DZ.GL.BC,"5,575"
379,Bouhadjar,DZ.ET.BH,"16,385"
380,Bou Hamdane,DZ.GL.BH,"4,517"
381,Bouhamza,DZ.BJ.BH,"10,846"
382,Bouhanifia,DZ.MC.BO,"16,953"
383,Bou Haroun,DZ.TP.BH,"8,613"
384,Bouhatem,DZ.ML.BO,"19,193"
